team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
San Marino National Team,San Marino,2024,San Marino,10,5,5,0,0,0,0,0,0,0,10,5,5,0,0,0,6,0,0,50,3,31,-28,34,15,19,2,1,13,18,-11,-17,300,225,450,29,35,25,0,0,0,3,2,1,7,3,4,0,0,0,11,7,4,21,14,7,25,25,25,35,21,14,16,12,4,19,9,10,116,67,49,0,0,0,13,5,8,-13,-5,-8,0,0,0,2,1,1,8,4,4,0.2,0.2,0.2,3.4,3,3.8,0.3,0.4,0.2,3.1,2.6,3.6,1.3,1,1.6,0,0,0,1.3,1,1.6,10,10,8,4,1,1,5,5,4,1,0,0,5,5,4,3,1,1,0,0,2,6,9,9,0,0,1,4,5,5,0,0,1,2,4,4,100,100,80,40,10,10,100,100,80,20,0,0,100,100,80,60,20,20,0,0,20,60,90,90,0,0,20,80,100,100,0,0,20,40,80,80,8,4,1,4,1,0,4,3,1,80,40,10,80,20,0,80,60,20,0,0,0,25,0,0,0,30,40,20,70,60,80,0,0,0,2,1,1,20,20,20,10,5,5,100,100,100,0,0,0,0,0,0,0,0,0,20,20,20,80,80,80,1.10,1.40,0.80,2.1,2.8,1.40,80,70,50,20,10,10,10,10,0.38,0.48,0.27,2.07,1.78,2.35,90,0,0,0,0,0,1,1,0,1,2,4,3,3,2,5,5,3,4,0,0,0,100,100,100,10
FYR Macedonia National Team,FYR Macedonia,2024,FYR Macedonia,8,4,4,0,2,1,1,2,2,0,4,1,3,1,1.25,0.75,4,0,0,38,10,20,-10,30,12,18,6,4,6,14,0,-10,72,60,90,36,60,26,1,0,1,5,4,1,2,0,2,4,3,1,25,18,7,20,11,9,41,41,42,57,34,23,34,19,15,23,15,8,90,48,42,5,3,2,7,0,7,-2,3,-5,3,2,1,2,2,0,3,0,3,1.38,2,0.75,3.75,3,4.5,1.25,1.5,1,2.5,1.5,3.5,1.5,0.75,2.25,0.63,0.75,0.5,0.88,0,1.75,8,8,4,3,3,2,4,4,2,1,1,0,4,4,2,2,2,2,0,0,4,5,5,6,0,0,2,3,3,4,0,0,2,2,2,2,100,100,50,38,38,25,100,100,50,25,25,0,100,100,50,50,50,50,0,0,50,62,62,75,0,0,50,75,75,100,0,0,50,50,50,50,6,4,2,2,1,0,4,3,2,75,50,25,50,25,0,100,75,50,25,25,25,30,13,0,25,63,100,25,25,0,50,50,75,25,5,4,1,63,100,25,5,2,3,63,50,75,0,0,0,0,0,0,38,50,25,25,50,0,38,0,75,3.13,4.50,1.75,2.5,2.75,2.25,88,50,38,25,25,13,13,13,0.87,1.04,0.71,1.43,1.08,1.78,138,1,0,0,2,2,1,1,2,1,0,1,2,1,5,2,3,1,5,25,50,0,50,25,75,0
Georgia National Team,Georgia,2024,Georgia,8,4,4,0,2,1,1,2,2,0,4,1,3,1,1.25,0.75,4,0,0,39,12,18,-6,30,18,12,8,4,10,8,-2,-4,60,45,90,40,36,45,1,1,0,6,3,3,1,0,1,3,2,1,16,11,5,19,12,7,41,40,43,69,34,35,32,21,11,37,13,24,82,49,33,3,1,2,10,5,5,-7,-4,-3,1,1,0,3,1,2,4,2,2,0.75,1,0.5,3.75,4.5,3,1.5,2,1,2.25,2.5,2,1.63,1.5,1.75,0.38,0.25,0.5,1.25,1.25,1.25,8,8,6,4,1,1,4,4,3,3,1,1,4,4,3,1,0,0,0,0,2,4,7,7,0,0,1,1,3,3,0,0,1,3,4,4,100,100,75,50,13,13,100,100,75,75,25,25,100,100,75,25,0,0,0,0,25,50,87,87,0,0,25,25,75,75,0,0,25,75,100,100,7,4,1,3,1,1,4,3,0,88,50,13,75,25,25,100,75,0,25,25,25,11,13,25,0,75,75,75,13,0,25,38,50,25,2,2,0,25,50,0,5,3,2,63,75,50,2,0,2,25,0,50,13,25,0,38,25,50,50,50,50,2.00,2.75,1.25,2.38,3,1.75,63,63,13,13,13,13,0,0,0.96,1.02,0.92,1.88,1.90,1.87,138,1,1,0,1,2,3,0,0,4,2,1,3,4,2,1,2,2,1,25,50,0,50,25,75,0
Spain National Team,Spain,2024,Spain,8,4,4,0,7,4,3,0,0,0,1,0,1,2.63,3,2.25,1,0,0,7,25,5,20,30,15,15,14,11,1,4,13,7,29,26,33,143,360,90,4,3,1,3,1,2,1,0,1,7,4,3,55,34,21,16,7,9,72,72,73,118,65,53,63,37,26,55,28,27,78,38,40,11,4,7,2,1,1,9,3,6,4,2,2,3,2,1,1,0,1,1.88,2,1.75,3.75,3.75,3.75,3.13,3.5,2.75,0.63,0.25,1,1.63,1.25,2,1.38,1,1.75,0.25,0.25,0.25,8,7,5,4,2,2,4,4,3,2,1,1,4,3,2,2,1,1,0,1,3,4,6,6,0,0,1,2,3,3,0,1,2,2,3,3,100,88,63,50,25,25,100,100,75,50,25,25,100,75,50,50,25,25,0,12,37,50,75,75,0,0,25,50,75,75,0,25,50,50,75,75,6,4,2,3,2,0,3,2,2,75,50,25,75,50,0,75,50,50,88,100,75,36,50,75,25,38,25,50,13,0,25,88,100,75,6,3,3,75,75,75,3,1,2,38,25,50,1,1,0,13,25,0,50,50,50,38,50,25,13,0,25,6.88,8.50,5.25,2,1.75,2.25,88,88,50,38,25,25,13,13,2.29,2.62,1.96,0.71,0.63,0.79,150,2,2,4,3,1,1,3,5,4,2,0,0,0,1,1,0,1,0,0,0,0,13,0,25,0
Luxembourg National Team,Luxembourg,2024,Luxembourg,10,5,5,0,5,3,2,2,0,2,3,2,1,1.7,1.8,1.6,3,0,0,18,13,19,-6,32,18,14,9,4,9,10,0,-6,69,50,113,47,50,45,4,1,3,3,2,1,4,2,2,5,3,2,36,24,12,30,14,16,48,53,43,89,57,32,47,31,16,42,26,16,141,61,80,4,3,1,9,4,5,-5,-1,-4,3,2,1,4,2,2,3,1,2,1.3,1.6,1,3.2,3.6,2.8,1.3,1.8,0.8,1.9,1.8,2,1.3,1.4,1.2,0.4,0.6,0.2,0.9,0.8,1,9,7,4,4,3,2,5,4,3,3,2,1,4,3,1,1,1,1,1,3,6,6,7,8,0,1,2,2,3,4,1,2,4,4,4,4,90,70,40,40,30,20,100,80,60,60,40,20,80,60,20,20,20,20,10,30,60,60,70,80,0,20,40,40,60,80,20,40,80,80,80,80,6,3,2,3,2,1,3,1,1,60,30,20,60,40,20,60,20,20,50,60,40,22,40,20,60,30,40,20,40,40,40,50,60,40,7,4,3,70,80,60,7,3,4,70,60,80,0,0,0,0,0,0,30,40,20,40,40,40,30,20,40,3.60,4.80,2.40,3,2.8,3.20,70,60,40,30,10,0,0,0,1.02,1.29,0.75,1.29,1.13,1.44,80,3,0,1,0,1,2,2,1,3,1,4,1,2,1,1,1,3,5,20,0,40,30,40,20,0
Portugal National Team,Portugal,2024,Portugal,10,5,5,0,10,5,5,0,0,0,0,0,0,3,3,3,1,0,0,1,36,2,34,38,23,15,21,15,2,0,19,15,25,21,30,450,225,0,9,4,5,1,1,0,0,0,0,10,5,5,72,47,25,11,5,6,68,67,68,161,97,64,93,54,39,68,43,25,91,39,52,19,9,10,0,0,0,19,9,10,8,5,3,2,0,2,0,0,0,2.6,3,2.2,3.8,4.6,3,3.6,4.2,3,0.2,0.4,0,1.9,1.8,2,1.9,1.8,2,0,0,0,10,8,6,5,4,2,5,5,4,3,2,1,5,3,2,2,2,1,0,2,4,5,6,8,0,0,1,2,3,4,0,2,3,3,3,4,100,80,60,50,40,20,100,100,80,60,40,20,100,60,40,40,40,20,0,20,40,50,60,80,0,0,20,40,60,80,0,40,60,60,60,80,8,4,3,5,2,1,3,2,2,80,40,30,100,40,20,60,40,40,100,100,100,-42,90,80,100,10,20,0,0,0,0,100,100,100,10,5,5,100,100,100,2,0,2,20,0,40,0,0,0,0,0,0,80,100,60,20,0,40,0,0,0,7.20,9.40,5.00,1.1,1,1.20,60,40,40,40,40,40,30,20,2.46,2.86,2.07,0.73,0.81,0.64,120,3,6,2,4,6,3,3,4,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Norway National Team,Norway,2024,Norway,8,4,4,0,3,2,1,2,0,2,3,2,1,1.38,1.5,1.25,3,0,0,30,14,12,2,26,11,15,6,8,5,7,1,1,51,60,45,60,72,51,1,0,1,5,3,2,2,1,1,6,3,3,38,19,19,11,4,7,56,55,56,88,38,50,48,20,28,40,18,22,85,36,49,7,3,4,3,0,3,4,3,1,4,2,2,3,2,1,1,0,1,1.88,2,1.75,3.25,2.75,3.75,1.75,1.5,2,1.5,1.25,1.75,1.25,0.75,1.75,0.88,0.75,1,0.38,0,0.75,8,7,6,3,1,1,4,3,3,1,0,0,4,4,3,2,1,1,0,1,2,5,7,7,0,1,1,3,4,4,0,0,1,2,3,3,100,88,75,38,13,13,100,75,75,25,0,0,100,100,75,50,25,25,0,12,25,62,87,87,0,25,25,75,100,100,0,0,25,50,75,75,6,2,1,2,1,0,4,1,1,75,25,13,50,25,0,100,25,25,38,50,25,2,13,0,25,63,75,50,25,25,25,75,75,75,6,4,2,75,100,50,3,2,1,38,50,25,1,0,1,13,0,25,50,50,50,38,50,25,13,0,25,4.75,4.75,4.75,1.38,1,1.75,50,38,38,38,13,13,0,0,1.55,1.42,1.68,0.97,0.91,1.03,100,1,3,1,2,0,2,2,1,2,0,2,0,1,1,2,0,0,6,25,0,50,38,50,25,0
Romania National Team,Romania,2024,Romania,10,5,5,0,6,4,2,4,1,3,0,0,0,2.2,2.6,1.8,1,0,0,6,16,5,11,21,12,9,10,6,2,3,8,3,56,45,75,180,225,150,6,3,3,4,2,2,2,0,2,6,5,1,50,23,27,25,14,11,52,55,48,119,61,58,60,32,28,59,29,30,106,56,50,8,6,2,3,0,3,5,6,-1,4,3,1,5,2,3,1,0,1,1.7,2.2,1.2,2.1,2.4,1.8,1.6,2,1.2,0.5,0.4,0.6,1.1,1.2,1,0.8,1.2,0.4,0.3,0,0.6,8,7,4,2,0,0,5,4,2,1,0,0,3,3,2,1,0,0,2,3,6,8,10,10,0,1,3,4,5,5,2,2,3,4,5,5,80,70,40,20,0,0,100,80,40,20,0,0,60,60,40,20,0,0,20,30,60,80,100,100,0,20,60,80,100,100,40,40,60,80,100,100,6,4,1,3,2,1,3,2,0,60,40,10,60,40,20,60,40,0,60,80,40,23,60,60,60,40,40,40,20,0,40,60,100,20,8,5,3,80,100,60,5,2,3,50,40,60,1,0,1,10,0,20,40,60,20,50,40,60,10,0,20,5.00,4.60,5.40,2.5,2.8,2.20,80,50,40,20,20,10,10,0,1.55,1.61,1.49,1.23,1.10,1.35,60,1,2,3,1,4,0,1,0,4,1,0,1,0,1,1,0,0,1,40,20,60,0,0,0,0
Northern Ireland National Team,Northern Ireland,2024,Northern Ireland,10,5,5,0,3,2,1,0,0,0,7,3,4,0.9,1.2,0.6,5,0,0,37,9,13,-4,22,8,14,5,4,3,10,2,-6,100,90,113,69,150,45,3,2,1,1,0,1,6,3,3,3,2,1,46,26,20,23,12,11,50,48,52,88,42,46,46,18,28,42,24,18,107,50,57,4,2,2,7,2,5,-3,0,-3,2,1,1,3,2,1,5,2,3,0.9,1,0.8,2.2,1.6,2.8,0.9,1,0.8,1.3,0.6,2,1.1,0.8,1.4,0.4,0.4,0.4,0.7,0.4,1,10,5,3,2,1,1,5,2,1,0,0,0,5,3,2,2,1,1,0,5,7,8,9,9,0,3,4,5,5,5,0,2,3,3,4,4,100,50,30,20,10,10,100,40,20,0,0,0,100,60,40,40,20,20,0,50,70,80,90,90,0,60,80,100,100,100,0,40,60,60,80,80,7,2,1,3,1,0,4,1,1,70,20,10,60,20,0,80,20,20,30,40,20,33,30,40,20,10,0,20,60,60,60,30,40,20,5,3,2,50,60,40,7,4,3,70,80,60,1,0,1,10,0,20,20,20,20,30,40,20,50,40,60,4.60,5.20,4.00,2.3,2.4,2.20,70,50,40,30,30,30,0,0,1.30,1.22,1.37,1.10,0.94,1.26,30,2,1,1,0,0,3,0,0,2,2,1,2,0,4,1,0,1,2,0,0,0,70,60,80,0
Sweden National Team,Sweden,2024,Sweden,8,4,4,0,3,2,1,1,0,1,4,2,2,1.25,1.5,1,3,0,0,35,14,12,2,26,14,12,8,6,6,6,2,0,51,45,60,60,60,60,3,2,1,2,1,1,3,1,2,4,2,2,47,23,24,11,7,4,52,50,55,89,42,47,51,22,29,38,20,18,79,46,33,6,2,4,4,1,3,2,1,1,3,2,1,3,1,2,2,1,1,1.5,1.75,1.25,3.25,3.5,3,1.75,2,1.5,1.5,1.5,1.5,1.25,0.75,1.75,0.75,0.5,1,0.5,0.25,0.75,8,8,5,3,2,0,4,4,3,2,1,0,4,4,2,1,1,0,0,0,3,5,6,8,0,0,1,2,3,4,0,0,2,3,3,4,100,100,63,38,25,0,100,100,75,50,25,0,100,100,50,25,25,0,0,0,37,62,75,100,0,0,25,50,75,100,0,0,50,75,75,100,6,3,1,3,0,0,3,3,1,75,38,13,75,0,0,75,75,25,38,50,25,0,38,50,25,25,25,25,38,25,50,50,50,50,5,3,2,63,75,50,4,2,2,50,50,50,1,0,1,13,0,25,38,50,25,38,25,50,25,25,25,5.88,5.75,6.00,1.38,1.75,1.00,88,88,75,63,25,25,13,13,1.58,1.47,1.72,1.14,0.91,1.44,100,0,2,2,2,0,1,1,2,4,2,0,0,2,1,2,1,0,4,13,0,25,50,50,50,0
Ukraine National Team,Ukraine,2024,Ukraine,8,4,4,0,4,2,2,2,2,0,2,0,2,1.75,2,1.5,3,0,0,25,11,8,3,19,5,14,4,7,1,7,3,0,65,90,51,90,360,51,3,3,0,4,1,3,2,1,1,3,3,0,31,22,9,16,7,9,47,46,49,75,42,33,40,24,16,35,18,17,108,43,65,5,2,3,8,1,7,-3,1,-4,2,1,1,3,3,0,3,0,3,1.13,1.5,0.75,2.38,1.25,3.5,1.38,1,1.75,1,0.25,1.75,1.63,0.75,2.5,0.63,0.5,0.75,1,0.25,1.75,7,6,3,2,1,0,3,2,0,0,0,0,4,4,3,2,1,0,1,2,5,6,7,8,1,2,4,4,4,4,0,0,1,2,3,4,88,75,38,25,13,0,75,50,0,0,0,0,100,100,75,50,25,0,12,25,62,75,87,100,25,50,100,100,100,100,0,0,25,50,75,100,6,5,2,2,1,0,4,4,2,75,63,25,50,25,0,100,100,50,50,50,50,24,38,75,0,50,25,75,25,25,25,38,75,0,3,3,0,38,75,0,4,2,2,50,50,50,3,1,2,38,25,50,25,25,25,38,75,0,38,0,75,3.88,5.50,2.25,2,1.75,2.25,63,63,50,38,38,25,25,13,1.20,1.38,1.02,1.45,1.24,1.66,50,0,0,2,1,2,0,2,1,3,0,2,1,4,1,0,0,0,0,25,50,0,25,0,50,0
Moldova National Team,Moldova,2024,Moldova,8,4,4,0,2,1,1,4,3,1,2,0,2,1.25,1.5,1,4,0,0,34,7,10,-3,17,9,8,5,2,4,6,1,-4,102,72,180,72,90,60,2,1,1,4,3,1,3,1,2,2,0,2,29,15,14,24,8,16,39,44,34,57,29,28,31,19,12,26,10,16,126,72,54,1,0,1,5,4,1,-4,-4,0,1,0,1,3,1,2,4,3,1,0.75,0.25,1.25,2.13,2.25,2,0.88,1.25,0.5,1.25,1,1.5,0.75,1,0.5,0.13,0,0.25,0.63,1,0.25,7,6,2,1,1,0,3,3,1,1,1,0,4,3,1,0,0,0,1,2,6,7,7,8,1,1,3,3,3,4,0,1,3,4,4,4,88,75,25,13,13,0,75,75,25,25,25,0,100,75,25,0,0,0,12,25,75,87,87,100,25,25,75,75,75,100,0,25,75,100,100,100,5,1,0,3,1,0,2,0,0,63,13,0,75,25,0,50,0,0,25,25,25,31,25,25,25,50,75,25,38,25,50,25,0,50,4,1,3,50,25,75,7,4,3,88,100,75,0,0,0,0,0,0,13,0,25,38,25,50,50,75,25,3.63,3.75,3.50,3,2,4.00,75,63,50,38,38,25,13,13,0.90,0.98,0.83,1.48,1.39,1.58,63,0,0,1,0,1,1,0,1,3,0,2,2,1,0,2,0,2,1,50,75,25,25,0,50,0
Latvia National Team,Latvia,2024,Latvia,8,4,4,0,1,1,0,0,0,0,7,3,4,0.38,0.75,0,5,0,0,45,5,19,-14,24,11,13,4,1,7,12,-3,-11,143,90,360,38,51,30,1,1,0,2,1,1,5,2,3,1,1,0,22,14,8,27,15,12,33,36,30,61,35,26,34,21,13,27,14,13,95,47,48,1,1,0,9,4,5,-8,-3,-5,1,1,0,1,0,1,6,3,3,0.5,0.75,0.25,3,2.75,3.25,0.63,1,0.25,2.38,1.75,3,1.25,1.25,1.25,0.13,0.25,0,1.13,1,1.25,8,7,4,3,2,0,4,4,1,1,1,0,4,3,3,2,1,0,0,1,4,5,6,8,0,0,3,3,3,4,0,1,1,2,3,4,100,88,50,38,25,0,100,100,25,25,25,0,100,75,75,50,25,0,0,12,50,62,75,100,0,0,75,75,75,100,0,25,25,50,75,100,7,2,1,4,1,0,3,1,1,88,25,13,100,25,0,75,25,25,13,25,0,43,13,25,0,25,25,25,63,50,75,13,25,0,2,1,1,25,25,25,7,3,4,88,75,100,0,0,0,0,0,0,13,25,0,13,0,25,75,75,75,2.75,3.50,2.00,3.38,3.75,3.00,50,38,38,38,38,13,13,13,0.91,1.06,0.76,2.07,1.89,2.25,63,0,0,0,1,0,1,2,0,1,2,2,2,1,2,1,2,1,6,0,0,0,88,75,100,0
Liechtenstein National Team,Liechtenstein,2024,Liechtenstein,10,5,5,0,0,0,0,0,0,0,10,5,5,0,0,0,6,0,0,53,1,28,-27,29,13,16,0,1,13,15,-13,-14,900,0,450,32,35,30,0,0,0,1,0,1,9,5,4,0,0,0,15,8,7,17,9,8,25,26,24,44,22,22,24,13,11,20,9,11,118,65,53,1,0,1,13,5,8,-12,-5,-7,0,0,0,3,2,1,7,3,4,0.3,0.4,0.2,2.9,2.6,3.2,0.1,0,0.2,2.8,2.6,3,1.4,1,1.8,0.1,0,0.2,1.3,1,1.6,10,8,5,3,1,1,5,3,1,1,1,1,5,5,4,2,0,0,0,2,5,7,9,9,0,2,4,4,4,4,0,0,1,3,5,5,100,80,50,30,10,10,100,60,20,20,20,20,100,100,80,40,0,0,0,20,50,70,90,90,0,40,80,80,80,80,0,0,20,60,100,100,7,5,2,3,2,0,4,3,2,70,50,20,60,40,0,80,60,40,0,0,0,-47,0,0,0,10,0,20,90,100,80,0,0,0,3,2,1,30,40,20,9,5,4,90,100,80,1,0,1,10,0,20,0,0,0,30,40,20,70,60,80,1.50,1.60,1.40,1.7,1.8,1.60,90,80,80,70,40,30,20,20,0.46,0.47,0.44,2.34,2.48,2.20,80,0,0,1,0,0,0,0,0,0,6,2,1,1,7,3,4,1,3,0,0,0,100,100,100,10
Poland National Team,Poland,2024,Poland,8,4,4,0,3,2,1,2,2,0,3,0,3,1.38,2,0.75,3,0,0,29,10,10,0,20,7,13,5,5,2,8,3,-3,72,72,72,72,180,45,3,2,1,4,2,2,1,0,1,5,3,2,45,23,22,17,7,10,65,64,65,91,50,41,47,28,19,44,22,22,101,51,50,5,2,3,4,1,3,1,1,0,4,2,2,1,1,0,3,1,2,1.63,1.75,1.5,2.5,1.75,3.25,1.25,1.25,1.25,1.25,0.5,2,1.13,0.75,1.5,0.63,0.5,0.75,0.5,0.25,0.75,8,7,2,2,1,0,4,3,0,0,0,0,4,4,2,2,1,0,0,1,6,6,7,8,0,1,4,4,4,4,0,0,2,2,3,4,100,88,25,25,13,0,100,75,0,0,0,0,100,100,50,50,25,0,0,12,75,75,87,100,0,25,100,100,100,100,0,0,50,50,75,100,7,2,0,3,0,0,4,2,0,88,25,0,75,0,0,100,50,0,38,50,25,30,38,50,25,50,50,50,13,0,25,63,75,50,5,3,2,63,75,50,4,2,2,50,50,50,0,0,0,0,0,0,50,50,50,13,25,0,38,25,50,5.63,5.75,5.50,2.13,1.75,2.50,75,38,38,25,25,13,13,13,1.55,1.73,1.38,0.91,0.88,0.94,63,1,1,0,2,1,1,1,1,2,2,0,1,1,2,0,2,1,1,25,50,0,38,0,75,0
Slovenia National Team,Slovenia,2024,Slovenia,10,5,5,0,7,4,3,1,1,0,2,0,2,2.2,2.6,1.8,1,0,0,5,20,9,11,29,16,13,12,8,4,5,8,3,45,38,56,100,113,90,4,2,2,5,3,2,1,0,1,7,5,2,38,22,16,10,4,6,55,53,57,104,56,48,55,28,27,49,28,21,113,51,62,11,7,4,5,2,3,6,5,1,5,3,2,3,2,1,2,0,2,1.8,2.2,1.4,2.9,3.2,2.6,2,2.4,1.6,0.9,0.8,1,1.6,1.8,1.4,1.1,1.4,0.8,0.5,0.4,0.6,10,9,6,2,1,1,5,5,3,1,1,1,5,4,3,1,0,0,0,1,4,8,9,9,0,0,2,4,4,4,0,1,2,4,5,5,100,90,60,20,10,10,100,100,60,20,20,20,100,80,60,20,0,0,0,10,40,80,90,90,0,0,40,80,80,80,0,20,40,80,100,100,9,5,1,4,3,1,5,2,0,90,50,10,80,60,20,100,40,0,70,80,60,16,40,40,40,50,60,40,10,0,20,70,100,40,5,3,2,50,60,40,3,1,2,30,20,40,3,2,1,30,40,20,50,60,40,30,40,20,20,0,40,3.80,4.40,3.20,1,0.8,1.20,80,50,30,20,10,10,0,0,1.41,1.49,1.33,1.04,1.04,1.04,50,3,3,3,0,3,3,2,1,2,1,1,2,0,2,2,1,0,0,10,20,0,20,0,40,0
